kinase,upregulated,downregulated,unregulated,upregulated_enrichment_value,upregulated_enrichment_value_log2,upregulated_p_value,upregulated_p_value_log10_abs,upregulated_adjusted_p_value,upregulated_adjusted_p_value_log10_abs,downregulated_enrichment_value,downregulated_enrichment_value_log2,downregulated_p_value,downregulated_p_value_log10_abs,downregulated_adjusted_p_value,downregulated_adjusted_p_value_log10_abs,dominant_direction,dominant_enrichment_value_log2,dominant_p_value_log10_abs,dominant_adjusted_p_value_log10_abs
CK1G2,22.0,11.0,100.0,1.9814915254237289,0.9865867971038756,0.005676254125695079,2.2459381694308216,0.0505854411789885,1.295974457970772,0.8724477611940299,-0.19685934399205554,0.7091187763825288,0.14928101501840824,1.0,0.0,upregulated set,0.9865867971038756,2.2459381694308216,1.295974457970772
CK1G3,20.0,7.0,90.0,1.9955106621773289,0.996757987307848,0.007481547930600241,2.1260085374071602,0.0647688292277678,1.1886339532551307,0.611897738446411,-0.7086375278574882,0.9288343767151858,0.03206171947379923,1.0,0.0,upregulated set,0.996757987307848,2.1260085374071602,1.1886339532551307
CK2A1,97.0,15.0,281.0,3.885021028793271,1.9579224076558066,1.7395993733296362e-20,19.75955075745619,5.2709861011887974e-18,17.278108128953885,0.3993076087774564,-1.3244275322053607,0.9999575921276465,1.841789548704273e-05,1.0,0.0,upregulated set,1.9579224076558066,19.75955075745619,17.278108128953885
CK2A2,98.0,15.0,291.0,3.7921197570964553,1.92300452600859,4.4902527470501966e-20,19.34772921276953,6.802732911781048e-18,17.167316579931207,0.384028405020712,-1.380715069704144,0.9999810367146013,8.23572829591053e-06,1.0,0.0,upregulated set,1.92300452600859,19.34772921276953,17.167316579931207
CLK1,31.0,59.0,374.0,0.6906342320780824,0.5340062500888798,0.9789785929821406,0.009226804674263941,1.0,0.0,1.3098529877582963,-0.38940489898878783,0.048779339176263634,1.3117640874590693,0.3284475504535085,0.48353397273210785,downregulated set,-0.38940489898878783,1.3117640874590693,0.48353397273210785
CLK2,40.0,36.0,324.0,1.0843695681240808,0.11685653089197853,0.35332280386708564,0.4518283317866668,1.0,0.0,0.8720430107526882,-0.19752880177812068,0.7942078846574361,0.10006580570550451,1.0,0.0,upregulated set,0.11685653089197853,0.4518283317866668,0.0
CLK3,42.0,39.0,281.0,1.3457392429634423,0.4283988933600769,0.05966852177442503,1.224254721216777,0.3545012176009958,0.4503822688124083,1.1193619808269675,-0.16267665248540755,0.29380100439285467,0.5319467238571005,1.0,0.0,upregulated set,0.4283988933600769,1.224254721216777,0.4503822688124083
CLK4,32.0,40.0,335.0,0.8117727153705159,0.30085224470291,0.8786518020239622,0.056183195937570846,1.0,0.0,0.9450785289240075,-0.0814938834560954,0.6518585058708293,0.18584666314584158,1.0,0.0,downregulated set,-0.0814938834560954,0.18584666314584158,0.0
COT,7.0,3.0,55.0,1.109325513196481,0.14968276258439153,0.46049629816281884,0.3367738566591466,1.0,0.0,0.4296846011131725,-1.2186500196506314,0.9651125628300347,0.015422031148390617,1.0,0.0,upregulated set,0.14968276258439153,0.3367738566591466,0.0
CRIK,9.0,13.0,135.0,0.5675324675324676,0.8172251660816653,0.969766027061087,0.01333303420104429,1.0,0.0,0.7582248915582249,-0.39930227575924626,0.8594644779628181,0.06577206818406368,1.0,0.0,downregulated set,-0.39930227575924626,0.06577206818406368,0.0
DAPK1,19.0,5.0,99.0,1.7118161480577587,0.7755277621779887,0.030719848027589015,1.512580937108714,0.19721527033707492,0.7050594607620921,0.39367279836488045,-1.3449310649402453,0.9933812525104143,0.0028840404431761907,1.0,0.0,upregulated set,0.7755277621779887,1.512580937108714,0.7050594607620921
DAPK2,14.0,7.0,88.0,1.4013651365136515,0.48683291008932245,0.16094867479311598,0.7933125948243228,0.8318321002294385,0.07996432431309013,0.6262737999463663,-0.6751345695740706,0.9191865461558443,0.036596340904886095,1.0,0.0,upregulated set,0.48683291008932245,0.7933125948243228,0.07996432431309013
DAPK3,14.0,2.0,95.0,1.2947021017891263,0.3726201861655971,0.22852969361533276,0.6410573626162082,1.0,0.0,0.16291309669522644,-2.617825507121154,0.9998825523607888,5.1009857174267905e-05,1.0,0.0,upregulated set,0.3726201861655971,0.6410573626162082,0.0
DCAMKL1,7.0,11.0,116.0,0.514098998887653,0.9598818921771125,0.9770258435528965,0.010093948498244538,1.0,0.0,0.7475810602161606,-0.41969807566831674,0.8554318359945797,0.0678145909514443,1.0,0.0,downregulated set,-0.41969807566831674,0.0678145909514443,0.0
DCAMKL2,9.0,9.0,79.0,0.990547427256288,0.01370204210538145,0.5638167348400546,0.24886203782796668,1.0,0.0,0.9053074409345303,-0.14352028259233846,0.6612988882882161,0.17960220738931792,1.0,0.0,upregulated set,0.01370204210538145,0.24886203782796668,0.0
DLK,10.0,5.0,90.0,0.9652551574375678,0.05101773726156563,0.5917412923296783,0.22786812413989402,1.0,0.0,0.4345063538611926,-1.2025508209155586,0.9859124971682409,0.006161628348172464,1.0,0.0,upregulated set,0.05101773726156563,0.22786812413989402,0.0
DMPK1,8.0,3.0,62.0,1.1253784319866373,0.17041021934861791,0.4357003554629671,0.3608120857481062,1.0,0.0,0.38018433179723504,-1.3952290181986635,0.9816038086458022,0.008063765205006434,1.0,0.0,upregulated set,0.17041021934861791,0.3608120857481062,0.0
DNAPK,21.0,10.0,161.0,1.1439482961222092,0.19402184703433203,0.3232293412774509,0.49048922284637786,1.0,0.0,0.47988760721679974,-1.0592315380068764,0.9949736403122025,0.0021884248006033193,1.0,0.0,upregulated set,0.19402184703433203,0.49048922284637786,0.0
DRAK1,14.0,9.0,103.0,1.1905540068569964,0.2516330667716282,0.317464331867041,0.49830506200505564,1.0,0.0,0.6881392065915704,-0.5392276515525712,0.8930872779200301,0.04910609713958299,1.0,0.0,upregulated set,0.2516330667716282,0.49830506200505564,0.0
DSTYK,9.0,4.0,73.0,1.0743639921722115,0.10348285806757744,0.4749255335668458,0.32337448068311936,1.0,0.0,0.4300248337739325,-1.2175081175657316,0.9787678619084137,0.009320299255863097,1.0,0.0,upregulated set,0.10348285806757744,0.32337448068311936,0.0
DYRK1A,18.0,40.0,329.0,0.444277276839719,1.170467740235352,0.9998937919963473,4.61279995450571e-05,1.0,0.0,0.9646979359119534,-0.05185081528484886,0.6078626457745494,0.21619454395300994,1.0,0.0,downregulated set,-0.05185081528484886,0.21619454395300994,0.0
DYRK1B,31.0,52.0,412.0,0.6169376739765089,0.6968033461719938,0.9962152181368742,0.0016468282908583686,1.0,0.0,1.0067036523347204,-0.009639053524248374,0.5093973101354472,0.29294335265158833,1.0,0.0,downregulated set,-0.009639053524248374,0.29294335265158833,0.0
